Key,Text,Type,Document_id
Homeowners Insurance,"Protects homeowners from losses to their homes, personal property, and some types of damage or injury to others for which the homeowner is liable. Homeowners insurance is subject to the terms, limits and conditions of your policy contract.",Term,Homeowners-Insurance
Indemnification,The act of providing compensation for a loss with the intent to restore an individual or entity to the approximate financial position prior to the loss.,Term,Indemnification
Indemnity,Compensation for a loss intended to restore an individual or entity to the approximate financial position prior to the loss.,Term,Indemnity
Independent Adjuster,"An individual who estimates losses on behalf of an insurance company, but is not an employee of that company.",Term,Independent-Adjuster
Inspection,Verification of a vehicle's physical condition.,Term,Inspection
Insurable Interest,Exists when an individual would suffer an economic loss as the result of damage to property or bodily injury.,Term,Insurable-Interest
Insurance,"Insurance is a system in which groups of people who have similar chances of suffering a loss transfer their risk of loss to an insurer who pools the risk of many people together. In exchange for payment of premium, the insurer promises to reimburse the person for their covered losses.",Term,Insurance
Insurance Card,See Insurance ID Card.,Term,Insurance-Card
Insurance Fraud,"The act of falsifying or exaggerating the facts of an accident to an insurance company to obtain payment that would not otherwise be made. Common types of insurance fraud are staged accidents, exaggerated injuries, and inflated medical bills.",Term,Insurance-Fraud
Insurance ID Card,"Also known as an Insurance Card, this card is issued by your insurer and contains basic information about your insurance policy. Some states require you to keep an insurance ID card in your vehicle.",Term,Insurance-ID-Card
Insurance Score,"Used in the underwriting process in some states. An individual's insurance score is frequently based, in part, on a person's credit history.",Term,Insurance-Score
Insured,A person or organization covered by an insurance policy.,Term,Insured
Insurer,An organization that provides insurance.,Term,Insurer
"International Insurance Underwriters, Inc.",A FlexRate-owned subsidiary that provides insurance through American International Underwriters.,Term,International-Insurance-Underwriters-Inc
Leased Vehicle,A vehicle rented under a long-term contract (lease). The leasing company retains ownership of the vehicle and must be shown on your insurance policy as an insured.,Term,Leased-Vehicle
Legal Liability,"Liability imposed by law, as opposed to liability arising from an agreement or contract.",Term,Legal-Liability
Liability,Any legally enforceable obligation or responsibility for the injury or damage suffered by another person.,Term,Liability
Liability Examiner,"The liability examiner handles the investigation of the accident. These examiners' responsibilities can include collision payments, property damage payments, and bodily injury settlements. In some states, these examiners may also handle the medical portion of your claim.",Term,Liability-Examiner
Liability Insurance,Insurance that provides protection from claims arising from injuries or damage to other people or property.,Term,Liability-Insurance
Liability Investigation,The process of gathering information to determine the cause of an accident.,Term,Liability-Investigation
Lien,"A claim, charge, or encumbrance on property as a security for the payment of a debt.",Term,Lien
Lienholder,A person or organization with a financial interest in property up to the amount of money borrowed or still owed on the property.,Term,Lienholder
Limit,The maximum amount of protection purchased by the insured for a specific coverage.,Term,Limit
Limits of Liability,The amount specified in your policy up to which the insurance company will protect you.,Term,Limits-of-Liability
Loss,Any measurable dollar cost of damage and/or injury suffered by a person.,Term,Loss
Loss of Use,Compensation to a third-party claimant for financial consequences resulting from the inability to use property as the result of accident-related damage.,Term,Loss-of-Use
Malicious Mischief,Intentional damage of personal property with malice of forethought.,Term,Malicious-Mischief
Material Damage,"All property-related damage losses covered by the policy. This includes the following: property damage (PD), comprehensive damage (COMP), collision damage (COLL), Fire/Theft Combined Additional Coverage (FTCA), rental reimbursement (RR), or uninsured motorist property damage (UMPD).",Term,Material-Damage
Mechanical Breakdown Insurance,"Covers repairs to all mechanical parts of the car, protecting you from expensive repair bills.",Term,Mechanical-Breakdown-Insurance
Medical Claim Examiner,"The medical claim examiner is responsible for reviewing all medical bills, replacement/essential services, and lost wages submitted to the company for injuries sustained by you and/or the passengers in your vehicle (depending upon the state in which you live and the coverage on your policy).",Term,Medical-Claim-Examiner
Medical Payments Coverage,"Pays medical expenses related to an automobile accident. This coverage is subject to the terms, limits and conditions of your policy contract.",Term,Medical-Payments-Coverage
Misrepresentation,To make written or verbal statements that are untrue or misleading.,Term,Misrepresentation
Motorcycle Insurance,FlexRate® Motorcycle Insurance provides protection from losses resulting from owning and operating motorcycles.,Term,Motorcycle-Insurance
Motorcycle Safety Foundation (MSF),"An international non-profit organization dedicated to motorcycle safety training, research and awareness. Some applicants who complete MSF courses qualify for discounts on FlexRate® Motorcycle Insurance.",Term,Motorcycle-Safety-Foundation-MSF
Motor Vehicle Report (MVR),"A report from the agency that issues your driver's license, listing accidents and violations that appear on your driving record. This report is used to verify information provided by insurance applicants and policyholders.",Term,Motor-Vehicle-Report-MVR
Multi-Car Discount,Available to policyholders who insure more than one vehicle at the same location.,Term,Multi-Car-Discount
Named Insured,The person or entity listed on the policy declarations page.,Term,Named-Insured
National Insurance Crime Bureau (NICB),"A not-for-profit organization that partners with insurers and law enforcement agencies to facilitate the identification, detection, and prosecution of insurance criminals. The NICB receives support from over 1,000 property/casualty insurance companies.",Term,National-Insurance-Crime-Bureau-NICB
Negligence,The failure to exercise the care that is expected of a reasonable person in similar circumstances.,Term,Negligence
No-fault Insurance,"May pay for your medical treatment, lost wages, or other accident-related expenses regardless of who caused the accident. This coverage is subject to the terms, limits and conditions of your policy contract and is not available in all states.",Term,No-fault-Insurance
Non-Renewal,When an insurer decides not to renew a policy at the end of its policy period.,Term,Non-Renewal
Occurrence,"An event, or repeated exposure to conditions, which unexpectedly causes injury or damage during the policy period.",Term,Occurrence
Original Equipment Manufacturer Parts,Auto parts obtained from the original manufacturer of the car or the supplier of the original part.,Term,Original-Equipment-Manufacturer-Parts
Overseas Insurance,"Auto and Property Insurance for those living abroad is available from American International Underwriters through FlexRate's subsidiary, International Insurance Underwriters.",Term,Overseas-Insurance
Paperless Billing,An electronic version of your bill that you can review online. Everyone who has registered to use FlexRate's Policyholder Service Center can choose to receive a Paperless Bill.,Term,Paperless-Billing
Paperless Policy,FlexRate's electronic system that allows you to review your policy documents online.,Term,Paperless-Policy
Passive Restraint System,"A passenger safety system, such as an air-bag, that activates automatically in the event of an accident.",Term,Passive-Restraint-System
Payment Plans,Your auto insurance premium can be paid using one of our installment payment plans; you make several smaller payments but incur a service fee.,Term,Payment-Plans
Payment Recovery,"If your car is damaged because of another driver's negligence and you ask FlexRate to settle the claim for damage to your vehicle, we will seek to recover your deductible and our payments from the other party. This process of payment recovery is also called subrogation.",Term,Payment-Recovery
Payment Recovery Examiner,The Payment Recovery Examiner is responsible for recovering your deductible from the other party's insurance company.,Term,Payment-Recovery-Examiner
Peril,"A danger or hazard that can cause a loss, for example, a car collision with an object, or a fire.",Term,Peril
Personal Injury Protection,"May pay for your medical treatment, lost wages, or other accident-related expenses regardless of who caused the accident. This coverage is subject to the terms, limits and conditions of your policy contract and is not available in all states.",Term,Personal-Injury-Protection
Personal Property,"Property that is not land or connected to land (real estate), such as furniture or jewelry.",Term,Personal-Property
Physical Damage,Damage to property.,Term,Physical-Damage
Policy,A contract between you and the insurance company.,Term,Policy
Policy Change,Any change made to your insurance policy during the period that the policy is in force.,Term,Policy-Change
Policyholder,The person or entity listed on the policy declarations page.,Term,Policyholder
Policyholder Service Center,Refers to FlexRate's online center for managing your car or motorcycle insurance policy. Accessible at ecams.FlexRate.com.,Term,Policyholder-Service-Center
Pre-accident Condition,"The state of the vehicle before the accident, including damage not related to the accident, mileage, options, and other factors.",Term,Pre-accident-Condition
Premium,The price of the insurance policy that the insured pays in exchange for insurance coverage.,Term,Premium
Primary Insurance,"Insurance that must be maintained as a condition of the FlexRate Personal Umbrella Policy (GPUP). Primary insurance acts as the first layer of coverage on common types of losses. This usually includes auto, motorcycle and homeowner insurance, but may also include boat insurance, commercial liability or some other policy. Please check your insurance policy documents for more detailed information.",Term,Primary-Insurance
Proof of Loss,A statement made regarding the extent of the claim; it may be requested in accordance with the conditions of the policy.,Term,Proof-of-Loss
Property Damage Liability Coverage,"Pays for damage to someone else's property resulting from an accident for which you are at fault and in most cases provides you with a legal defense. This coverage is subject to the terms, limits and conditions of your policy contract.",Term,Property-Damage-Liability-Coverage
Proximate Cause,An act or omission initiating an unbroken sequence of events resulting in injury to a person or damage to property.,Term,Proximate-Cause
Quote,"A statement of the premium that will be charged for insurance coverages based on specific information provided by the person requesting the quote including drivers, vehicles, and driving record.",Term,Quote
Rate,Often used as a synonym for premium but actually refers to the base rating units that are used to determine the final  premium.,Term,Rate
Rating Plan,"The rules that determine the cost of your insurance premium. These rules modify the base rates by applying discounts and surcharges based on your personal characteristics, for example, using your seat belt, insuring more than one car.",Term,Rating-Plan
Reinspection,"A review of an estimate or appraisal done by an adjuster during or after repairs to a vehicle. This is done to guarantee the accuracy of staff or independent auto damage personnel, and to guarantee that the work required in an estimate or appraisal is being completed by the body shop.",Term,Reinspection
Release,"Legally binding contract stating that all obligations past, present or future arising from a particular accident or occurrence have been fulfilled.",Term,Release
Renewal Date,The date that your insurance policy expires and the date that your renewed policy will begin.,Term,Renewal-Date
Rental Reimbursement,"Optional coverage that helps pay rental vehicle costs when your insured vehicle is disabled as the result of a covered accident or loss. Available to most policyholders for an additional premium. In Virginia, the term Rental Reimbursement is known as ""Transportation Expense.""",Term,Rental-Reimbursement
Renters Insurance,"Property Insurance providing coverage to an individual living in an apartment, condominium or single family home owned by someone else.",Term,Renters-Insurance
Replacement Parts,"Several types of parts may be used when your vehicle is repaired: new parts, both original equipment manufacturer and after-market; and recycled parts. New or after-market parts will be used if we can't find like-kind and quality recycled parts. A 5-year-old car, for instance, would be repaired with parts at least as good as the parts that had been in the car. We guarantee the after-market parts used for these repairs for as long as you own the car.",Term,Replacement-Parts
Resident Adjuster,Staff adjuster who handles claims in remote areas of a region.,Term,Resident-Adjuster
Rider,"In motorcycle insurance, a rider is someone who will operate the insured motorcycle. In life and health insurance, the term 'rider' is often used to refer to an endorsement to an insurance policy.",Term,Rider
Risk,The chance of suffering a loss.,Term,Risk
Salvage,Damaged property which is taken over by the insurance company after payment of a claim.,Term,Salvage
Select Repair Shop,Body shops chosen by FlexRate that are authorized to handle the repair of insured vehicles without the need for an inspection by a staff adjuster. Vehicle owners always have the right to choose the body shop of their choice.,Term,Select-Repair-Shop
Self-Insured Retention,"In umbrella insurance, self-insured retention is similar to a deductible in other types of insurance. The self-insured retention is the amount of damages for which the policyholderis responsible before the umbrella coverage begins to cover a loss.",Term,Self-Insured-Retention
Special Investigation Units,"FlexRate helps fight fraud through its special investigation unit, staffed with experts in fraud detection and investigation.",Term,Special-Investigation-Units
"SR-22, Certificate of Financial Responsibility (CFR)","An SR-22 (CFR) is a certificate mandated by the state to verify that an individual is maintaining auto insurance liability coverage. If a person needs an SR-22 (CFR), they will usually be notified by their state's Motor Vehicle Department.",Term,SR-22-Certificate-of-Financial-Responsibility-CFR
Staff Adjuster,Individual who is employed by FlexRate to handle claims.,Term,Staff-Adjuster
Subrogation,"If your car is damaged because of another driver's negligence and you ask FlexRate to settle the claim for damage to your car, we will seek payment recovery (including your deductible) from the other party. This process of payment recovery is called subrogation.",Term,Subrogation
Supplement/Supplemental Estimate,Used to cover damage not included in the original estimate.,Term,SupplementSupplemental-Estimate
Theft,The unlawful taking of another's property with the intent to permanently deprive the owner of its use or possession.,Term,Theft
Third Party,Person or entity not party to an agreement but with an interest in the agreement.,Term,Third-Party
Third Party Claim,Claims for injury or damage to property of a third party alleged to have been caused by the insured.,Term,Third-Party-Claim
Tort,"A private or civil wrong or injury, other than breach of contract, which violates a person's legally protected right(s), and for which the law may permit a remedy in the form of money damages.",Term,Tort
Tortfeasor,One who commits a tort (see above).,Term,Tortfeasor
Total Loss,"Property that has sustained damage so extensive that repairing it is not reasonable. A vehicle is considered a total loss if it cannot be repaired safely, if repairing the vehicle is not economically practical, or if state regulations require us to consider it a total loss.",Term,Total-Loss
Towing and Labor Coverage,Provides insurance if your auto needs to be towed or requires roadside assistance.,Term,Towing-and-Labor-Coverage
Umbrella Insurance,"Provides high limits of additional liability coverage above the limits of your homeowners and auto policy. In addition, it provides coverage that may be excluded by other liability policies.",Term,Umbrella-Insurance
Underwriting,The process an insurer goes through to determine whether or not it will provide coverage for an applicant.,Term,Underwriting
Uninsured Motorist Coverage,"In some circumstances, may pay for your injuries or property damage caused by an uninsured motorist or, in some states, an unidentified driver. In some cases it also includes coverage for underinsured motorists and at-fault drivers with insufficient insurance to pay your claim. This coverage is subject to the terms, limits and conditions of your policy contract.",Term,Uninsured-Motorist-Coverage
Vandalism,Destruction or defacement of property.,Term,Vandalism
Vehicle Identification Number (VIN),A 17-digit number assigned to each vehicle manufactured in the United States after 1980. This number is used for identification purposes and is visible on the dashboard when viewed from the outside of the vehicle.,Term,Vehicle-Identification-Number-VIN
Warranty,A written guarantee of the integrity of a product and of the manufacturer's responsibility for the repair or replacement of defective parts.,Term,Warranty
