Query,ReleventDoc1,RScore1,ReleventDoc2,RScore2,ReleventDoc3,RScore3,NonReleventDoc1,NRScore1,NonReleventDoc2,NRScore2,NonReleventDoc3,NRScore3
Can you explain stocks?,Term-Stock,100,Term-Common-Stock,90,Term-Preferred-Stock,80,Term-Stock-Options,0,Term-Stock-Exchange,0,Term-Stock-Split,0
What is a stock exchange and it's purpose?,Term-Stock-Market,100,Term-New-York-Stock-Exchange---NYSE,90,Term-American-Stock-Exchange---AMEX,80,Term-Stock-Options,0,Term-Stock-ETF,0,Term-Stock-Split,0
How do I invest for Retirement,Term-401k-Plan,100,Term-Roth-IRA,90,Term-IRA,80,Term-529-Plan,0,Term-Defined-Benefit-Plan,0,Term-Employee-Stock-Ownership-Plan---ESOP,0
What are Bonds?,Term-Bond,100,Term-Coupon-Bond,90,Term-Corporate-Bond,80,Term-Unamortized-Bond-Discount,0,Term-Bond-Discount,0,Term-Bond-Indenture,0
What is a financial institution?,Term-Financial-Institution---FI,100,Term-Brokerage-Company,90,Term-Asset-Management-Company---AMC,80,Term-Portfolio,0,Term-Wholesaler,0,Term-Stock-ETF,0
What is a CPA?,Term-Certified-Public-Accountant---CPA,100,Term-American-Institute-Of-Certified-Public-Accountants---AICPA,90,Term-Auditing-Standards-Board---ASB,80,Term-Certified-Financial-Planner-CFP,0,Term-Accountant,0,Term-Certified-Internal-Auditor-CIA,0
Can you explain a dividend?,Term-Dividends,100,Term-Dividends-Yield,90,Term-Dividend-Payout-Ratio,80,Term-Pro-Rata,0,Term-Revenues,0,Term-Stock-Rights,0
What is a mutual fund?,Term-Mutual-Fund,100,Term-Open-End-Fund,90,Term-Closed-End-Fund,80,Term-Trust-Funds,0,Term-401k-Plan,0,Term-Roth-IRA,0
What is capital gain?,Term-Capital-Gain,100,Term-Cost-Basis,90,NA,80,Term-Long-Term-Gain,0,Term-Margin,0,Term-Ordinary-Income,0
What is cost basis and how is it calculated?,Term-Cost-Basis,100,Term-Capital-Gains-Treatment,90,NA,80,Term-Accrual-Basis,0,Term-Cash-Basis,0,Term-Tax-Basis,0
What is a 401k plan?,Term-401k-Plan,100,Term-Profit-Sharing-Plan,90,NA,80,Term-Roth-IRA,0,Term-IRA,0,Term-529-Plan,0
What is common stock?,Term-Common-Stock,100,Term-Preferred-Stock,90,Term-Stock,80,Term-Stock-Options,0,Term-Stock-Exchange,0,Term-Stock-Split,0
What is preferred stock?,Term-Preferred-Stock,100,Term-Common-Stock,90,Term-Stock,80,Term-Stock-Options,0,Term-Stock-Exchange,0,Term-Stock-Split,0
Can you give me examples of benefit plans?,Term-Employee-Contribution-Plan,100,Term-Employee-Stock-Ownership-Plan---ESOP,90,Term-Employer-Sponsored-Plan,80,Term-Phantom-Income,0,Term-Privilege,0,Term-Special-Assessment,0
What is capital stock?,Term-Capital-Stock,100,Term-Common-Stock,90,Term-Stock,80,Term-Stock-Options,0,Term-Stock-Exchange,0,Term-Stock-Split,0
What is a retirement account?,Term-401k-Plan,100,Term-Roth-IRA,90,Term-IRA,80,Term-529-Plan,0,Term-Defined-Benefit-Plan,0,Term-Employee-Stock-Ownership-Plan---ESOP,0
What is a cash account?,Term-Cash-Account,100,Term-Custody-Account,90,Term-T-Account,80,Term-Equity-Account,0,Term-Insured-Account,0,Term-Materials-Inventory-Account,0
what is a contra account?,Term-Contra-Account,100,Term-Contra-Market,90,NA,80,Term-Equity-Account,0,Term-Insured-Account,0,Term-Materials-Inventory-Account,0
What does it mean for a company to go public?,Term-Going-Public,100,Term-Initial-Public-Offering---IPO,90,NA,80,Term-Going-Private,0,NA,0,NA,0
What does it mean for a company to go private?,Term-Going-Private,100,NA,90,NA,80,Term-Going-Public,0,Term-Initial-Public-Offering---IPO,0,Term-Public-Offering,0
What is an independent broker?,Term-Independent-Broker,100,Term-Brokerage-Company,90,NA,80,Term-Registered-Investment-Advisor---RIA,0,Term-Analyst,0,Term-Certified-Public-Accountant---CPA,0
What is a RIA?,Term-Registered-Investment-Advisor---RIA,100,NA,90,NA,80,Term-Certified-Public-Accountant---CPA,0,Term-Analyst,0,Term-Brokerage-Company,0
What does it mean when a company goes insolvent?,Term-Insolvency,100,Term-Defunct,90,Term-Bankruptcy,80,Term-Profit,0,Term-Normal-Profit,0,NA,0
What does mark-to-market mean?,Term-Mark-to-Market,100,Term-Market-Value,90,NA,80,Term-Stock-Market,0,Term-Market,0,Term-Marketing,0
Can you explain NAV?,Term-NAV,100,Term-Net-Assets,90,NA,80,Term-Net-Present-Value-(NPV),0,Term-Net-Worth,0,Term-Net-Proceeds,0
What is an open-end mutual fund?,Term-Open-End-Fund,100,Term-Mutual-Fund,90,NA,80,Term-Closed-End-Mutual-Fund,0,Term-CMO,0,NA,0
What is a closed-end mutual fund?,Term-Closed-End-Fund,100,Term-Collateralized-Mortgage-Obligation---CMO,90,NA,80,Term-Open-End-Mutual-Fund,0,Term-Stock-Options,0,NA,0
What is a premium bond?,Term-Premium-Bond,100,Term-Redemption-Value,90,NA,80,Term-Mutual-Fund,0,Term-Common-Stock,0,Term-IRA,0
What is a prospectus?,Term-Prospectus,100,Term-Red-Herring,90,NA,80,Term-Mutual-Fund,0,Term-Common-Stock,0,Term-IRA,0
What is a REIT?,Term-Real-Estate-Investment-Trust---REIT,100,Term-REIT-ETF,90,NA,80,Term-Mutual-Fund,0,Term-Common-Stock,0,Term-IRA,0
What is the definition of rate of return?,Term-Rate-Of-Return,100,Term-Real-Rate-Of-Return,90,Term-Required-Rate-Of-Return---RRR,80,Term-Discount-Rate,0,Term-Economic-Growth-Rate,0,Term-Interest-Rate,0
What is realized profit or loss?,Term-Realized-Profit-or-Loss,100,NA,90,NA,80,Term-Unrealized-Profit-or-Loss,0,NA,0,NA,0
What is a REMIC?,Term-Real-Estate-Mortgage-Investment-Conduit---REMIC,100,NA,90,NA,80,Term-REIT-ETF,0,Term-Real-Estate-Investment-Trust---REIT,0,NA,0
What is the definition of the safe harbor rule?,Term-Safe-Harbor,100,NA,90,NA,80,Term-Uniform-Capitalization-Rules,0,Term-Generally-Accepted-Auditing-Standards---GAAS,0,Term-Internal-Revenue-Code,0
What is the SEC?,Term-Securities-And-Exchange-Commission---SEC,100,NA,90,NA,80,Term-Stock-Split,0,Term-Stock-Market,0,NA,0
What is a treasury note?,Term-Treasury-Note,100,Term-Note,90,NA,80,Term-Mutual-Fund,0,Term-Common-Stock,0,Term-IRA,0
What is the difference in short-term and long-term gain or loss?,Term-Long-Term-Capital-Gain-Or-Loss,100,Term-Realized-Gain,90,Term-Realized-Loss,80,Term-Return-On-Capital-Gains,0,Term-Actuarial-Gain-Or-Loss,0,Term-Gain,0
What is a zero coupon bond?,Term-Zero-Coupon-Bond,100,Term-Bond,90,NA,80,Term-Bond-Discount,0,Term-Corporate-Bond,0,NA,0
What is a share of stock?,Term-American-Shares,100,Term-Fractional-Share,90,NA,80,Term-Market-Share,0,Term-Subsidiary,0,NA,0
,,,,,,,,,,,,
